location_code,PSC_Code,FisheryID,FisheryName,Gear
1M1NW113 4303  DE,1M1,198,SE AK Net,2
1M1NW113 4303  DE,1M1,198,SE AK Net,3
1M1NW113 4303  DE,1M1,198,SE AK Net,6
1M1NW113 4303  DE,1M1,199,SE AK Sport,4
5F33209  R534   13,5F33209,25,L ColR Net,2
2MN25H004AVER IS 09,2MN25,187,No BC  Spt,4
2MN25H001STRI IS 05,2MN25,187,No BC  Spt,4
2MS62P016NELS RK 17,2MS62P016,193,Albern Spt,4
2MS62P014MONT BK 13,2MS62P014,192,SGaStr Spt,4
2MS62P014SNDY IS 11,2MS62P014,192,SGaStr Spt,4
1M1NW113 62,1M1NW,196,NW AK  Trl,1
1M1NW113 62,1M1,198,SE AK Net,2
1M1NW113 62,1M1,198,SE AK Net,3
1M1NW113 62,1M1,198,SE AK Net,6
1M1NW113 62,1M1,199,SE AK Sport,4
1M1NE112 1804  MS,1M1NE,197,NE AK  Trl,1
1M1NE112 1804  MS,1M1,198,SE AK Net,2
1M1NE112 1804  MS,1M1,198,SE AK Net,3
1M1NE112 1804  MS,1M1,198,SE AK Net,6
1M1NE112 1804  MS,1M1,199,SE AK Sport,4
2MN26H006MISK IN 01,2MN26H006,188,Cen BC Spt,4
2MN25P2W SELV PT,2MN25,187,No BC  Spt,4
1M1SW103 6099997,1M1SW,194,SW AK  Trl,1
1M1SW103 6099997,1M1,198,SE AK Net,2
1M1SW103 6099997,1M1,198,SE AK Net,3
1M1SW103 6099997,1M1,198,SE AK Net,6
1M1SW103 6099997,1M1,199,SE AK Sport,4
2MS62P016HOTH SD 12,2MS62P016,193,Albern Spt,4
2MS62P016PIRA RK 01,2MS62P016,193,Albern Spt,4
3M10412X2,3M10412X2,154,A12B NetTR,2
2MS27P024WILF RK,2MS27,190,WC VI  Spt,4
1M1SE105 1005  MS,1M1SE,195,SE AK  Trl,1
1M1SE105 1005  MS,1M1,198,SE AK Net,2
1M1SE105 1005  MS,1M1,198,SE AK Net,3
1M1SE105 1005  MS,1M1,198,SE AK Net,6
1M1SE105 1005  MS,1M1,199,SE AK Sport,4
1M1NW114 2704  MS,1M1NW,196,NW AK  Trl,1
1M1NW114 2704  MS,1M1,198,SE AK Net,2
1M1NW114 2704  MS,1M1,198,SE AK Net,3
1M1NW114 2704  MS,1M1,198,SE AK Net,6
1M1NW114 2704  MS,1M1,199,SE AK Sport,4
1M1SE108 30DF,1M1SE,195,SE AK  Trl,1
1M1SE108 30DF,1M1,198,SE AK Net,2
1M1SE108 30DF,1M1,198,SE AK Net,3
1M1SE108 30DF,1M1,198,SE AK Net,6
1M1SE108 30DF,1M1,199,SE AK Sport,4
1M1SE108 4003,1M1SE,195,SE AK  Trl,1
1M1SE108 4003,1M1,198,SE AK Net,2
1M1SE108 4003,1M1,198,SE AK Net,3
1M1SE108 4003,1M1,198,SE AK Net,6
1M1SE108 4003,1M1,199,SE AK Sport,4
1M1SE108 4005,1M1SE,195,SE AK  Trl,1
1M1SE108 4005,1M1,198,SE AK Net,2
1M1SE108 4005,1M1,198,SE AK Net,3
1M1SE108 4005,1M1,198,SE AK Net,6
1M1SE108 4005,1M1,199,SE AK Sport,4
5F33209  R      17,5F33209,25,L ColR Net,2
1M1NE110 1405  DE,1M1NE,197,NE AK  Trl,1
1M1NE110 1405  DE,1M1,198,SE AK Net,2
1M1NE110 1405  DE,1M1,198,SE AK Net,3
1M1NE110 1405  DE,1M1,198,SE AK Net,6
1M1NE110 1405  DE,1M1,199,SE AK Sport,4
3M10510  888108 H,3M10510,119,Ar10 NetNT,6
3M10510  A,3M10510,119,Ar10 NetNT,6
3M10510X1,3M10510,119,Ar10 NetNT,6
3M10510X1  X10B,3M10510,119,Ar10 NetNT,6
3M10510X5,3M10510,119,Ar10 NetNT,6
3M10510X5  X10E,3M10510,119,Ar10 NetNT,6
5M2223205O      10,5M2223205,19,Coos B Spt,4
5M2223205O      10,5M22232,20,Coos B Trl,1
1M1SW103 40DF,1M1SW,194,SW AK  Trl,1
1M1SW103 40DF,1M1,198,SE AK Net,2
1M1SW103 40DF,1M1,198,SE AK Net,3
1M1SW103 40DF,1M1,198,SE AK Net,6
1M1SW103 40DF,1M1,199,SE AK Sport,4
2MS22P013MITL IS,2MS22,192,SGaStr Spt,4
3M11208  872217,3M11208 ,115,Ar 8-2 Spt,4
1M1SW103 9005,1M1SW,194,SW AK  Trl,1
1M1SW103 9005,1M1,198,SE AK Net,2
1M1SW103 9005,1M1,198,SE AK Net,3
1M1SW103 9005,1M1,198,SE AK Net,6
1M1SW103 9005,1M1,199,SE AK Sport,4
1M1SW103 9021,1M1SW,194,SW AK  Trl,1
1M1SW103 9021,1M1,198,SE AK Net,2
1M1SW103 9021,1M1,198,SE AK Net,3
1M1SW103 9021,1M1,198,SE AK Net,6
1M1SW103 9021,1M1,199,SE AK Sport,4
1M103    NW11345,1M1,198,SE AK Net,2
1M103    NW11345,1M1,198,SE AK Net,3
1M103    NW11345,1M1,198,SE AK Net,6
1M103    NW11345,1M1,199,SE AK Sport,4
1M1SE102 1006  MS,1M1SE,195,SE AK  Trl,1
1M1SE102 1006  MS,1M1,198,SE AK Net,2
1M1SE102 1006  MS,1M1,198,SE AK Net,3
1M1SE102 1006  MS,1M1,198,SE AK Net,6
1M1SE102 1006  MS,1M1,199,SE AK Sport,4
1M1SE102 2006  DE,1M1SE,195,SE AK  Trl,1
1M1SE102 2006  DE,1M1,198,SE AK Net,2
1M1SE102 2006  DE,1M1,198,SE AK Net,3
1M1SE102 2006  DE,1M1,198,SE AK Net,6
1M1SE102 2006  DE,1M1,199,SE AK Sport,4
1M1SW104 2007  MS,1M1SW,194,SW AK  Trl,1
1M1SW104 2007  MS,1M1,198,SE AK Net,2
1M1SW104 2007  MS,1M1,198,SE AK Net,3
1M1SW104 2007  MS,1M1,198,SE AK Net,6
1M1SW104 2007  MS,1M1,199,SE AK Sport,4
